STT,Câu hỏi,Chương,A,B,C,D
1,Lĩnh vực chuyển đổi số nào tập trung vào việc sử dụng công nghệ để cải thiện hiệu quả của các quy trình kinh doanh hiện có?,1,[x] Chuyển đổi quy trình,[] Chuyển đổi mô hình kinh doanh,[] Chuyển đổi miền thị trường,[] Chuyển đổi cơ cấu tổ chức và văn hóa doanh nghiệp
2,Chuyển đổi mô hình kinh doanh trong quá trình chuyển đổi số nhằm mục đích gì?,1,[x] Tạo ra mô hình kinh doanh mới để thích ứng với thị trường số.,[] Tăng hiệu suất sản xuất.,[] Cải thiện văn hóa tổ chức.,[] Mục tiêu tăng doanh số bán hàng.
3,"Trong quá trình chuyển đổi số, tại sao việc chuyển đổi cơ cấu tổ chức và văn hóa doanh nghiệp là quan trọng?",1,[x] Tạo ra sự linh hoạt và nhanh nhẹn hơn trong quyết định kinh doanh.,[] Duy trì các quy trình truyền thống để giữ vững văn hóa tổ chức.,[] Giảm động lực cho nhân viên.,[] Giảm chi phí chuyển đổi.
4,Đâu là một trong những lĩnh vực chính của quá trình chuyển đổi số?,1,[x] Chuyển đổi quy trình,[ ] Chuyển đổi sản phẩm,[ ] Chuyển đổi quy mô kinh doanh,[ ] Chuyển đổi phương pháp thanh toán
5,Chữ T trong SWOT là viết tắt của,2,[x] Threats,[ ] Trend,[ ] Trick,[ ] Technology
6,Đâu không phải 1 trong 5 nhóm chức năng nghiệp vụ cơ bản?,2,[x]Technology,[ ] Strategy,[ ] Human resource,[ ] Operation
7,Cơ cấu tổ chức(OS) nào là phổ biến nhất hiện nay ?,2,[x] Cấu trúc chức năng,[ ] Cấu trúc bộ phận,[ ] Cấu trúc phẳng,[ ] Cấu trúc ma trận
8,Cơ cấu tổ chức nào là phù hợp và tốt nhất cho mọi doanh nghiệp?,2,[ ] Cấu trúc bộ phận,[ ] Cấu trúc Agile,[ ] Cấu trúc chức năng,[ x] Không có OS nào là tốt nhất cho mọi doanh nghiệp
9,"Quá trình nhận dạng điểm mạnh, yếu, cơ hội, thách thức gọi là:",2,[X]Phân tích SWOT,[]Phân tích PEST,[]Lực lượng của Porter,[]Phân tích chuỗi giá trị
10,Hình thức doanh nghiệp do một người sở hữu và quản lý gọi là:,2,[]Doanh nghiệp hợp danh,[]Doanh nghiệp tư nhân,[]Công ty cổ phần,[]Công ty trách nhiệm hữu hạn
11,Cách phân loại cơ cấu tổ chức doanh nghiệp mà trong đó hầu hết tất cả các nhân viên đều tham gia vào quá trình ra quyết định và báo cáo tập trung là cách phân loại dựa theo:,2,[x] Cấu trúc phẳng,[] Cấu trúc bộ phận,[] Cấu trúc chức năng,[] Cấu trúc ma trận
12,CRM là viết tắt của cụm từ nào sau đây?,2,[]Customer Revenue Management,[x]Customer Relationship Management,[]Customer Retention Marketing,[]Customer Response Management
13,Yếu tố nào sau đây không nằm trong việc phân tích SWOT?,2,[] Weaknesses,[] Threats,[] Opportunities,[x] Sustainability
14,Nhóm chức năng nào chịu trách nhiệm xác định mục tiêu và hướng đi của doanh nghiệp?,2,[x] Chiến lược,[] Tiếp thị và Bán hàng,[] Kế toán và Tài chính,[] Nguồn nhân lực
15,HR đảm nhận trách nhiệm chính là gì?,2,[x] Xây dựng và duy trì nguồn nhân lực chất lượng.,[] Quản lý các quy trình vận hành.,[] Phát triển chiến lược tiếp thị.,[] Giám sát tình hình tài chính.
16,Tiếp thị và Bán hàng đóng vai trò quan trọng trong:,2,[x] Tiếp cận và giữ chân khách hàng.,[] Phát triển chiến lược tài chính.,[] Xây dựng nguồn nhân lực chất lượng.,[[ Quản lý các quy trình vận hành.
17,Cách phân loại doanh nghiệp nào sau đây là sai?,2,"[] Kích thước ( Big, SME, Micro)","[] Ngành nghề Kinh doanh ( Sản suất,
XNK, Phần mềm … )","[] Loại hình ( Public, Private, FDI,
NGO )","[x] Tuổi doanh nghiệp (5 năm tuổi, 10 năm tuổi,...)"
