STT,Câu hỏi,Chương,A,B,C,D,correct_answer
1,Lĩnh vực chuyển đổi số nào tập trung vào việc sử dụng công nghệ để cải thiện hiệu quả của các quy trình kinh doanh hiện có?,1,Chuyển đổi quy trình,Chuyển đổi mô hình kinh doanh,Chuyển đổi miền thị trường,Chuyển đổi cơ cấu tổ chức và văn hóa doanh nghiệp,A
2,Chuyển đổi mô hình kinh doanh trong quá trình chuyển đổi số nhằm mục đích gì?,1,Tạo ra mô hình kinh doanh mới để thích ứng với thị trường số.,Tăng hiệu suất sản xuất.,Cải thiện văn hóa tổ chức.,Mục tiêu tăng doanh số bán hàng.,"A, B"
3,"Trong quá trình chuyển đổi số, tại sao việc chuyển đổi cơ cấu tổ chức và văn hóa doanh nghiệp là quan trọng?",1,Tạo ra sự linh hoạt và nhanh nhẹn hơn trong quyết định kinh doanh.,Duy trì các quy trình truyền thống để giữ vững văn hóa tổ chức.,Giảm động lực cho nhân viên.,Giảm chi phí chuyển đổi.,A
4,Đâu là một trong những lĩnh vực chính của quá trình chuyển đổi số?,1,Chuyển đổi quy trình,Chuyển đổi sản phẩm,Chuyển đổi quy mô kinh doanh,Chuyển đổi phương pháp thanh toán,A
5,Chữ T trong SWOT là viết tắt của,2,Threats,Trend,Trick,Technology,A
6,Đâu không phải 1 trong 5 nhóm chức năng nghiệp vụ cơ bản?,2,Technology,Strategy,Human resource,Operation,A
7,Cơ cấu tổ chức(OS) nào là phổ biến nhất hiện nay ?,2,Cấu trúc chức năng,Cấu trúc bộ phận,Cấu trúc phẳng,Cấu trúc ma trận,A
8,Cơ cấu tổ chức nào là phù hợp và tốt nhất cho mọi doanh nghiệp?,2,Cấu trúc bộ phận,Cấu trúc Agile,Cấu trúc chức năng,x Không có OS nào là tốt nhất cho mọi doanh nghiệp,D
9,"Quá trình nhận dạng điểm mạnh, yếu, cơ hội, thách thức gọi là:",2,XPhân tích SWOT,Phân tích PEST,Lực lượng của Porter,Phân tích chuỗi giá trị,A
10,Hình thức doanh nghiệp do một người sở hữu và quản lý gọi là:,2,Doanh nghiệp hợp danh,Doanh nghiệp tư nhân,Công ty cổ phần,Công ty trách nhiệm hữu hạn,
11,Cách phân loại cơ cấu tổ chức doanh nghiệp mà trong đó hầu hết tất cả các nhân viên đều tham gia vào quá trình ra quyết định và báo cáo tập trung là cách phân loại dựa theo:,2,Cấu trúc phẳng,Cấu trúc bộ phận,Cấu trúc chức năng,Cấu trúc ma trận,A
